Country_Code,Country_Name,Num_Predictors,CV_RMSE,AIC,BIC,R_Squared,Predictors
PHL,Philippines,3,0.07250567803636337,-291.84050917491214,-285.81850961921475,0.9015810328742166,Gross national expenditure (current LCU) | GNI (current LCU) | Households and NPISHs Final consumption expenditure (current LCU)
IDN,Indonesia,10,0.09032845500473548,-270.51052002374956,-250.43718817142485,0.9937944922990836,GDP (current LCU) | Gross capital formation (constant LCU) | GNI (current LCU) | Gross national expenditure (constant LCU) | Gross national expenditure (current LCU) | GNI: linked series (current LCU) | Final consumption expenditure (current LCU) | Households and NPISHs final consumption expenditure: linked series (current LCU) | GDP (constant LCU) | Changes in inventories (constant LCU)
MMR,Myanmar,10,0.12082223541195562,-243.98195796943656,-223.90862611711185,0.8962330491608221,"Agriculture, forestry, and fishing, value added (current LCU) | Industry (including construction), value added (current LCU) | GNI (current LCU) | Industry (including construction), value added (constant LCU) | GDP (current LCU) | GDP (constant LCU) | Gross value added at basic prices (GVA) (current LCU) | Gross value added at basic prices (GVA) (constant LCU) | Broad money (current LCU) | Net domestic credit (current LCU)"
THA,Thailand,9,0.1565029008381383,-228.2053617637463,-210.13936309665408,0.9938814412815905,Final consumption expenditure (current LCU) | GDP (constant LCU) | Net domestic credit (current LCU) | Gross domestic income (constant LCU) | GDP: linked series (current LCU) | GNI: linked series (current LCU) | Imports of goods and services (current LCU) | Gross value added at basic prices (GVA) (current LCU) | GDP (current LCU)
KHM,Cambodia,6,0.2856789650913173,-137.8362529418103,-125.79225383041548,0.6796887589268492,Gross national expenditure (constant LCU) | Net domestic credit (current LCU) | GNI (constant LCU) | Gross value added at basic prices (GVA) (current LCU) | Broad money (current LCU) | GDP: linked series (current LCU)
MYS,Malaysia,2,0.3879939601513386,-113.54425030353457,-109.52958393306963,0.9793427410704107,Imports of goods and services (current LCU) | Final consumption expenditure (current LCU)
TLS,Timor-Leste,3,0.4169013318200021,-95.24582636157244,-89.22382680587504,0.4361181989780305,"Net primary income (Net income from abroad) (current LCU) | Net primary income (BoP, current US$) | GNI (current US$)"
LAO,Laos,3,0.459485638003637,-85.22753176556603,-79.20553220986861,0.8678685151307468,GNI (current LCU) | GDP (constant LCU) | Gross national expenditure (constant LCU)
VNM,Vietnam,2,0.6940024136083803,-43.28399231460077,-39.26932594413583,0.7387272351507808,Gross national expenditure (current LCU) | Net domestic credit (current LCU)
SGP,Singapore,9,2.0291216898720017,0.49659560231983235,18.56259426941207,0.9180350137944554,"Central government debt, total (current LCU) | Exports of goods and services (current US$) | Imports of goods and services (constant LCU) | Imports of goods and services (current US$) | Exports of goods and services (BoP, current US$) | Exports of goods and services (constant LCU) | Market capitalization of listed domestic companies (current US$) | Imports of goods and services (BoP, current US$) | Exports of goods, services and primary income (BoP, current US$)"
BRN,Brunei,6,2.3466239047277866,90.4406534184631,102.48465252985793,0.5140773405222965,"GNI: linked series (current LCU) | Gross domestic savings (current LCU) | Gross value added at basic prices (GVA) (current LCU) | Industry (including construction), value added (current LCU) | GDP: linked series (current LCU) | GDP (current LCU)"
