cv_rmse,aic,aicc,bic,rss,r_squared,n_predictors,feature_indices,features
0.12082223541195562,-243.98195796943656,-238.98195796943656,-223.90862611711185,0.45278459340023436,0.8962330491608221,10,"(0, 1, 2, 3, 5, 6, 9, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Gross value added at basic prices (GVA) (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.1306985469803681,-227.73229516407673,-227.5015259333075,-223.7176287936118,0.8138483176504357,0.813486236945498,2,"(5, 14)","['GDP (current LCU)', 'Revenue, excluding grants (current LCU)']"
0.13606389356094195,-224.64107588673508,-224.56560418862188,-222.6337427015026,0.8927812855754624,0.7953967667611037,1,"(5,)",['GDP (current LCU)']
0.1302558712258381,-243.21445668980817,-237.07492180608725,-221.13379165225098,0.4427509549365735,0.8985325091786158,11,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Manufacturing, value added (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.12782017694787573,-238.89217565486007,-234.89217565486007,-220.82617698776784,0.5150796938986886,0.8819565637742472,9,"(0, 1, 2, 3, 4, 5, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.13526287933677958,-226.7524140094832,-226.2818257741891,-220.73041445378578,0.7988924982259453,0.8169137382377271,3,"(5, 8, 14)","['GDP (current LCU)', 'GDP: linked series (current LCU)', 'Revenue, excluding grants (current LCU)']"
0.1251428882861622,-236.7549408150147,-233.624506032406,-220.69627533315492,0.5553197565439856,0.8727345437162701,8,"(0, 3, 4, 5, 6, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.13522167108068842,-242.4686108360957,-236.32907595237478,-220.3879457985385,0.4487959217667359,0.8971471533493033,11,"(0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Manufacturing, value added (current LCU)', 'Gross value added at basic prices (GVA) (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.13579765985177336,-242.35300360024246,-236.21346871652153,-220.27233856268526,0.44974026036750736,0.8969307344636122,11,"(0, 1, 2, 3, 4, 5, 6, 8, 10, 12, 13)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'GDP: linked series (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)']"
0.15835040114175483,-243.7493443150127,-236.3207728864413,-219.66134609222306,0.4228081658612964,0.9031028996992605,12,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Services, value added (current LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)', 'Revenue, excluding grants (current LCU)']"
0.1595013236126209,-243.74288946899634,-236.31431804042492,-219.6548912462067,0.4228577898932906,0.9030915271071638,12,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13, 14)","['Agriculture, forestry, and fishing, value added (current LCU)', 'Industry (including construction), value added (current LCU)', 'GNI (current LCU)', 'Industry (including construction), value added (constant LCU)', 'GNI: linked series (current LCU)', 'GDP (current LCU)', 'GDP (constant LCU)', 'Manufacturing, value added (current LCU)', 'Gross value added at basic prices (GVA) (constant LCU)', 'Broad money (current LCU)', 'Net domestic credit (current LCU)', 'Revenue, excluding grants (current LCU)']"
